Gene_set,Term,P-value,Adjusted P-value,Old P-value,Old adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Biological_Process_2023,Cell-Cell Adhesion Mediated By Cadherin (GO:0044331),4.7607273271204236e-05,0.012568320143597917,0,0,inf,inf,CDH12;CDH9
GO_Biological_Process_2023,Calcium-Dependent Cell-Cell Adhesion Via Plasma Membrane Cell Adhesion Molecules (GO:0016339),0.0001421945234420395,0.018769677094349214,0,0,300.8484848484849,2665.010512003306,CDH12;CDH9
Reactome_2022,Adherens Junctions Interactions R-HSA-418990,0.00028313929046518144,0.044736007893498665,0,0,150.3939393939394,1228.6540544232273,CDH12;CDH9
GO_Biological_Process_2023,Bicarbonate Transport (GO:0015701),0.0007016412135168691,0.06174442678948448,0,0,75.16666666666667,545.8669762962464,CYB5R1;SLC4A3
GO_Biological_Process_2023,Adherens Junction Organization (GO:0034332),0.0009779829829329378,0.0645468768735739,0,0,60.121212121212125,416.64109949341514,CDH12;CDH9
Reactome_2022,Cell-cell Junction Organization R-HSA-421270,0.0012982514303593402,0.10256186299838788,0,0,50.09090909090909,332.94109748981595,CDH12;CDH9
GO_Biological_Process_2023,Cell-Cell Junction Organization (GO:0045216),0.0067892113042615195,0.11161813622129643,0,0,18.74621212121212,93.58897368458453,CDH12;CDH9
GO_Biological_Process_2023,Cell-Cell Junction Assembly (GO:0007043),0.0053717733621658674,0.11161813622129643,0,0,21.432900432900432,112.02113717479165,CDH12;CDH9
GO_Biological_Process_2023,Leukotriene Transport (GO:0071716),0.013952267027662054,0.11161813622129643,0,0,146.0,623.728537854309,ABCC2
GO_Biological_Process_2023,Cell Junction Assembly (GO:0034329),0.004109504399554668,0.11161813622129643,0,0,25.015151515151516,137.44457033035158,CDH12;CDH9
GO_Biological_Process_2023,C-terminal Protein Deglutamylation (GO:0035609),0.006999917822024454,0.11161813622129643,0,0,inf,inf,AGBL5
GO_Biological_Process_2023,Peptidyl-Glutamic Acid Modification (GO:0018200),0.006999917822024454,0.11161813622129643,0,0,inf,inf,AGBL5
