,logFC,mod_t,p,fdr_all,kME,fdr_in_module
SARDH,0.15929448217896658,1.9874494803926377,0.05036369419966781,0.3660646122028051,0.8828770681956538,0.1275880253058251
ST8SIA5,0.12750469871777348,1.6533352191975919,0.10226059899834207,0.4371963510231866,0.8516481800206993,0.17109692137143984
POSTN,0.06552921898486286,0.8999987323457221,0.3708763124846836,0.6762000978887122,0.8487834364617876,0.4145088198358229
DENND2A,0.19026334046527626,2.7477256702226436,0.007442809322685872,0.26470869863932694,0.834242796547227,0.05656535085241262
CACNG2,0.2451213923939477,2.144384230970423,0.035098985963169425,0.331369646922676,0.7995155163155987,0.12048177961933382
CELSR3-AS1,0.23504794210625413,3.2482563168398872,0.0017103685121015488,0.26470869863932694,0.788926502576525,0.02166466781995295
GPR173,0.14113486737031966,1.6476938435368453,0.10341675652746943,0.4390538261387551,0.7729316914313388,0.17109692137143984
EDN3,0.10552152406544035,1.7093896745110522,0.09133331220613686,0.4218625134880176,0.7715541390383938,0.17109692137143984
CCZ1.1,0.13518227200768074,1.61810491012309,0.1096552999510002,0.4469485710369457,0.7653720410273838,0.17109692137143984
MAP2K7,0.15712338321496855,2.3159894331640283,0.023172308866448787,0.30071249536087663,0.7645954072596884,0.12048177961933382
FGF6,0.061945869190053404,0.8167754464725695,0.41653107089709274,0.7099782347300048,0.7644017630013472,0.442932407068624
FRMD1,0.2152142029419144,2.487347447007214,0.01499235769716728,0.2809674523556947,0.751561293692827,0.09495159874872611
SLC9A1,0.1424578967506278,1.840271953324272,0.06951141327182905,0.3894887024746143,0.745931780365941,0.1533239613600222
CYB5R1,0.24559578853071695,3.014034970735527,0.0034713622704000647,0.26470869863932694,0.7454823313152674,0.032977941568800614
KREMEN2,0.27481897687673484,3.300253610870672,0.0014550529699454413,0.26470869863932694,0.7386022613522185,0.02166466781995295
SLC4A3,0.17052075662454946,1.8196587445607137,0.07262713959158945,0.3945126083885686,0.7354518112394807,0.1533239613600222
LEFTY1.2,0.1681527623838548,1.5651730863484536,0.12156886518497043,0.46256915658931524,0.7340648412538656,0.17109692137143984
C11orf1,0.09608397343599284,1.4910935817134094,0.13994850523847982,0.4801393511664626,0.7314779931477582,0.1833807999676632
GPT,0.18636241622070004,2.2101504005545953,0.030010211731428166,0.3187644390609794,0.7299757305268311,0.12048177961933382
ABCC2,0.10107405511518763,1.4429809702749805,0.15300834844607186,0.4960973023545662,0.7266157002947867,0.1938105746983577
AGBL5,0.14784284788473379,2.0582178684356007,0.04289087178982721,0.35041146108198457,0.7245455707609842,0.1253733175394949
C9,0.06273094701862725,0.8113504071928442,0.4196201751176438,0.711385683230677,0.7238222407772533,0.442932407068624
TRIM3,0.1479163345241572,2.110001148558188,0.03804687777452647,0.3365206499494275,0.7198810971487054,0.12048177961933382
HSPB7,0.16874797497681193,1.9495891922766106,0.054799840774897364,0.3727326864986099,0.7120654321058454,0.13014962184038123
GABRG3,0.10472064188159447,1.2957813598692558,0.19885172317354688,0.5386548659983933,0.7083250005778049,0.23358307870064685
LAMA5,0.12916235686478128,1.5729078130388396,0.11976618977081493,0.4612824322463847,0.6963695023888109,0.17109692137143984
CDH12,0.16800937310400643,2.1724161877209966,0.032844680223774424,0.32747381490450417,0.6779027298541518,0.12048177961933382
PCDH12,0.05919652911204398,0.7196456093619223,0.4738824623690417,0.7458392312702455,0.6735234595504795,0.48669009648712386
RAB15,0.11195111231635835,1.6008660465776803,0.11342753623236136,0.45216997926589725,0.6692854449059488,0.17109692137143984
CDH9,0.25969390886284227,3.5122783243597815,0.0007403932054602883,0.26470869863932694,0.6651228888162142,0.02166466781995295
NRP2,0.14843822583479316,2.006396686084992,0.048261237019079146,0.3620512315074941,0.6620060668822798,0.1275880253058251
ART1,0.10560940910269379,1.5397631041190183,0.12764357356573988,0.4687293374325939,0.6531397298981351,0.1732305641249327
FOXB1,0.10969812321178773,1.2842127615258347,0.2028484630821407,0.5421746566909726,0.6447464254451042,0.23358307870064685
BARX2,0.10060175901465529,1.6311175583733437,0.10687531984383944,0.4428019459501809,0.6339760308701107,0.17109692137143984
SSX2.2,0.10528729545885485,1.3880932358955143,0.16903953668256458,0.509479421172399,0.6259946815301247,0.20720975464314367
PDGFRL,0.11900365539980884,1.5697863305951119,0.12049110579046145,0.4622302851995704,0.5960058820285088,0.17109692137143984
CYCSP19,0.1552995202609435,2.195686511821053,0.031070325026141314,0.321598668673937,0.5892163112207306,0.12048177961933382
POU3F4,-0.011976645120905793,-0.1834974726545755,0.8548813098387222,0.9447805137354102,0.5503822550634245,0.8548813098387221
