,logFC,mod_t,p,fdr_all,kME,fdr_in_module
ARPC4.2,0.14175994089179245,2.236901093469356,0.02813281874926086,0.3121634198655669,0.6313371792027526,0.07750878635000441
STX5,0.11159682298977014,1.6931766942298878,0.09439086915398981,0.42655180750177935,0.6305921467810247,0.14563162669472712
TCIRG1,0.12173095757824282,2.039912006967097,0.04472605208071078,0.3568051164447128,0.6305822655698065,0.09597079310086966
GARS,0.11070339733049739,1.7318986394011608,0.08722342008129591,0.4158111190118921,0.6303092681896745,0.1369204850113366
GSTM1,0.06394193517536984,0.8630836039672795,0.3907233695422275,0.6908272172193747,0.6300794846797839,0.4288427226682985
DEF6,0.08510363409373767,1.2672095613220802,0.20883054775381582,0.5478171648848362,0.6294910487378026,0.2622523157838617
HLA-DMA,0.20142437724003148,2.5258937956807217,0.0135553352140437,0.2806935042702915,0.6271306275665729,0.05382265452634999
CTSW,0.27416602734068274,2.4479732060481307,0.016600028989495606,0.28397972156756063,0.6268461111445581,0.059188693162389235
LGALS3BP,0.10867744698700754,1.737796914128018,0.08617197698753298,0.41401147137806904,0.626222165094247,0.1360610162961047
NADSYN1,0.21471113903325634,3.5657046503848457,0.000621966067012882,0.26470869863932694,0.623755111787567,0.023762740712638883
SV2A,0.12563664917702866,1.6649749142925272,0.09990825933952338,0.4359274762877703,0.6225420666786965,0.15240242950096786
CD101,0.15225318776373742,1.8773802629461385,0.06418435849254604,0.37929672279263654,0.6182565499492221,0.11476673372839358
TESK1,0.06539336639862414,0.9843369105094395,0.32797705936282007,0.6452125119779495,0.6174519240181063,0.3687770947471026
MRPL2,0.15110946198577668,2.3768864684274065,0.019897150038181773,0.2928538297944816,0.6134244832261115,0.06317281564049458
PIGT,0.08823146343632216,1.347871098858603,0.1815806078630726,0.5215594219072176,0.6104565915027402,0.23346078153823618
GBAP1.1,0.08606295479649884,1.280825002879571,0.20403008724202115,0.5431737220517173,0.6089905986035636,0.2576996331123556
ATHL1,0.11888128030245859,1.6536224631371281,0.10220201210727116,0.4371963510231866,0.6076665664061499,0.15330301816090675
