,ME1,ME2,ME3,ME4,ME5,ME6,ME7,ME8,ME9,ME10,ME11,ME12,ME13,ME14,ME15,ME16,ME17,ME18,ME19,ME20,ME21
GSM1123226,0.2888613889133637,2.503357180655123,0.0952900397966379,0.12897007994075935,0.5312516656856563,-0.09045576392469805,-1.5412139586165263,-1.7446113312830833,1.0514106326514183,-1.74275670307434,-0.6759027000455514,-0.34324075093256073,0.11891958804293859,-0.03729916904232737,-0.038365094502658646,1.7779204590503281,1.5859643430201318,0.03053541047092606,-0.24787447896033213,1.4136922727475163,-1.9791781375287019
GSM1123229,1.4179992405913227,-0.12812906840385185,1.022508362294519,-0.9303933837526414,0.4812651211961607,0.4080050047175392,0.066578065466004,0.19706762929051994,-1.0496083382425216,0.08890718445709372,0.4644742866193701,-0.06785456452165917,0.8838224390028339,-0.8126531600447013,1.400562119203469,-0.5260240491019713,0.2248537064753822,1.357609114294898,1.0889554163837907,0.8244523925881743,0.9659893366124354
GSM1123232,1.917432782780841,-1.8943554502562052,-0.4877086453934203,0.330951830530065,0.4682660118492098,0.8539299673873849,-0.0400176776517602,0.37182698236974515,1.8820472470464804,1.4820173709422226,1.831521516452996,0.5459350349455764,-1.0618727424193324,1.561964538767881,-0.8098860192825257,1.7546104088112955,1.6408747018516543,1.00156441676236,2.244849204625713,1.7378065672941603,-1.5638741309683641
GSM1123235,2.263516743504584,-1.833683153304813,-0.13328527381122934,-1.0581853770651788,-0.6310831021042447,-0.08134957707653305,0.7663282647696441,1.0333559357104691,1.698262838915745,0.8398684559977355,0.9515386064710082,-0.10105296795161892,-2.058353611842123,1.7416068880779525,-1.474592477607414,0.29156321583620065,-0.5971471029857731,1.0802624326658767,0.5282509231392708,0.7469077836290618,-3.1133531332874607
GSM1123238,-0.838251549518147,-1.6664071258512136,-0.36995187322487616,0.5681556453898325,0.1139638065117548,0.7491412114449302,0.8192041548426383,0.9199213773232744,0.8001362553823271,1.1907009284375756,1.2455961577365333,1.5533119419455037,-0.4184092541977793,-0.9902877121574558,-0.8802473779169195,0.6220210950808037,-0.031327699600685974,-1.6748543151465711,-0.022597486742916863,-1.5718220595977632,-0.9147235609353506
GSM1123241,0.952772402137164,0.3455712527079413,0.11376640212872319,1.1124204361337167,0.364201244746986,0.9817659176473198,0.9352134135646376,0.7515974992627268,1.7312356035361236,2.03745993775767,0.6219225310002376,1.665242772505546,1.2784343153512934,-0.686774416582966,-0.4991770257536606,2.041858522952531,0.24368427983664903,-1.74743540414948,1.0635277594906885,-0.0007666744445265573,-1.0391228620174886
GSM1123244,-0.3445306508730336,-1.6714009748563596,-0.32003257050494266,-0.6551950346526936,0.3126089823257975,1.1014592220736417,1.5807811576696853,2.939546353739041,0.868367839964205,1.0304817255514438,1.9796432146755398,0.9466332921976852,-0.5213160069849619,-1.3430406089344349,-1.4122693515681009,-2.499316116072946,-2.146417520237329,-2.1037637444585373,-0.13817135035148054,-2.3234134451199973,0.179437014431797
GSM1123247,0.7720201476537001,-1.2183077099638264,0.06913993583146398,-0.03951070685391685,-0.510946012658704,0.4299182081713218,0.1367159927482979,-0.27109227137783826,1.1604576120061822,0.7134597764375183,0.8785051749149446,-0.17205698531576036,-0.3827174049582206,-1.393056077586831,-0.8816536177387351,-0.1395050307961146,-0.34223691417151486,-1.7867878507167902,-0.6769685106196511,-2.137600828555462,0.18037607516785822
GSM1123250,-1.2984412333861755,-1.7602015133032956,-3.2074101271919973,0.7438882963627833,-0.9611337842776468,-0.14034942101726394,-1.4827253051685028,0.3229024789803831,0.528384095027778,1.7389512516901144,0.3472026029734522,0.03269726603914884,-2.0228850262131193,-1.2411026216141026,-1.1926794921417883,1.0592682705399448,0.41771009976830575,-1.263358287203333,2.2018056378303865,0.547274936138577,-0.4593864867070287
GSM1123253,-0.7257589601107289,-0.23668939977732376,-0.42907253154042685,1.06067522888355,-1.1333405030892123,-0.8017661463029883,-0.26974847560492743,-0.5114391281605726,0.4003801870124939,-0.07342504605906498,-0.9172657759131359,-0.4494686098048463,-1.0686367859019,-0.930105682913175,-0.4942034987149781,0.8954138955476628,2.2457368610454758,0.2908102272843446,0.37880296334936325,0.5467688745159155,0.5874745014585288
GSM1123256,0.0964137405058246,-0.20901530496151918,0.587225472465005,1.1768313872377445,2.3268451042331773,1.5839152682344715,0.9854751760544233,1.4232410728143754,1.1628031571680022,0.4386695692379814,1.810029910499807,0.4509454215983739,-0.6059286816480904,0.14902967818553867,-0.8356728464968629,0.8713357615138361,-0.06698195798084058,-0.252541350852782,-0.530953781870739,-0.5503373317442298,0.45060733775822764
GSM1123259,0.6248531432735365,0.14325106436308976,0.06340777934975307,-0.09497604324652152,-0.2547410199111995,0.6226281999941693,0.9648302427246734,0.30849874540480676,1.410041599595825,0.7016089311749809,0.15394269853258782,1.04746768611781,-0.4534817430235137,-0.5624848934173315,-0.7290056790094976,0.6991775887293316,-0.03852877237778876,-3.1255583749784757,-0.6612253902151296,-1.6077959724259951,-2.1952371615809256
